short_name,character,unicode
download,,EC74
discard,,EAE2
diff,,EAE1
diff-renamed,,EAE0
diff-removed,,EADF
diff-multiple,,EC23
diff-modified,,EADE
diff-ignored,,EADD
diff-added,,EADC
device-mobile,,EADB
device-camera,,EADA
device-camera-video,,EAD9
developer-tools,,ECBE
desktop-download,,EA78
debug,,EAD8
debug-stop,,EAD7
debug-step-over,,EAD6
debug-step-out,,EAD5
debug-step-into,,EAD4
debug-step-back,,EB8F
debug-start,,EAD3
debug-stackframe,,EB8B
debug-stackframe-active,,EB89
debug-reverse-continue,,EB8E
debug-restart,,EAD2
debug-restart-frame,,EB90
debug-rerun,,EBC0
debug-pause,,EAD1
debug-line-by-line,,EBD0
debug-disconnect,,EAD0
debug-disconnect-compact,,ECAF
debug-coverage,,EBDD
debug-continue,,EACF
debug-continue-small,,EBE0
debug-console,,EB9B
debug-connected,,EC63
debug-connected-compact,,ECAE
debug-breakpoint-unsupported,,EB8C
debug-breakpoint-log,,EAAB
debug-breakpoint-log-unverified,,EAAA
debug-breakpoint-function,,EB88
debug-breakpoint-function-unverified,,EB87
debug-breakpoint-data,,EAA9
debug-breakpoint-data-unverified,,EAA8
debug-breakpoint-conditional,,EAA7
debug-breakpoint-conditional-unverified,,EAA6
debug-alt,,EB91
debug-alt-small,,EBA8
debug-all,,EBDC
database,,EACE
dashboard,,EACD
dash,,EACC
cursor,,EC5C
credit-card,,EAC9
coverage,,EC2E
copy,,EBCC
copilot,,EC1E
copilot-warning,,EC38
copilot-warning-large,,EC3B
copilot-unavailable,,EC42
copilot-success,,EC4E
copilot-snooze,,EC52
copilot-not-connected,,EC3E
copilot-large,,EC3A
copilot-in-progress,,EC4C
copilot-error,,EC4D
copilot-compact,,EC8A
copilot-blocked,,EC3D
compass,,EBD5
compass-dot,,EBD6
compass-active,,EBD7
comment,,EA6B
comment-unresolved,,EC0A
comment-unresolved-compact,,ECAD
comment-draft,,EC0E
comment-discussion,,EAC7
comment-discussion-sparkle,,EC54
comment-discussion-quote,,EC5B
comment-compact,,ECAC
combine,,EBB6
color-mode,,EAC6
collection,,EC57
collection-small,,EC78
collapse-all,,EAC5
collapse-all-compact,,ECAB
coffee,,EC15
code,,EAC4
code-review,,EC37
code-oss,,EC2B
cloud,,EBAA
cloud-upload,,EAC3
cloud-small,,EC7A
cloud-download,,EAC2
cloud-compact,,ECBF
close,,EA76
close-compact,,ECAA
close-all,,EAC1
clockface,,EC75
clippy,,EAC0
clear-all,,EABF
claude,,EC82
circuit-board,,EABE
circle,,EABC
circle-small,,EC07
circle-small-filled,,EB8A
circle-small-filled-compact,,ECA9
circle-slash,,EABD
circle-slash-compact,,EC89
circle-large,,EBB5
circle-large-filled,,EBB4
circle-filled,,EA71
circle-filled-compact,,ECA8
chrome-restore,,EABB
chrome-minimize,,EABA
chrome-maximize,,EAB9
chrome-close,,EAB8
chip,,EC19
chevron-up,,EAB7
chevron-up-compact,,ECA7
chevron-right,,EAB6
chevron-right-compact,,ECA6
chevron-left,,EAB5
chevron-left-compact,,ECA5
chevron-down,,EAB4
chevron-down-compact,,ECA4
checklist,,EAB3
checklist-compact,,ECA3
check,,EAB2
check-compact,,ECA2
check-all,,EBB1
chat-sparkle,,EC4F
chat-sparkle-warning,,EC55
chat-sparkle-error,,EC56
chat-import,,EC86
chat-export,,EC87
case-sensitive,,EAB1
call-outgoing,,EB93
call-incoming,,EB92
calendar,,EAB0
build,,EC5A
bug,,EAAF
broadcast,,EAAD
briefcase,,EAAC
bracket-error,,EBE6
bracket-dot,,EBE5
bookmark,,EAA5
book,,EAA4
bold,,EAA3
blank,,EC03
bell,,EAA2
bell-slash,,EC08
bell-slash-dot,,EC09
bell-dot,,EB9A
beaker,,EA79
beaker-stop,,EBE1
beaker-compact,,ECA1
azure,,EBD8
azure-devops,,EBE8
attach,,EC34
attach-compact,,ECA0
ask,,EC80
ask-compact,,ECC1
arrow-up,,EAA1
arrow-swap,,EBCB
arrow-small-up,,EAA0
arrow-small-right,,EA9F
arrow-small-left,,EA9E
arrow-small-down,,EA9D
arrow-right,,EA9C
arrow-left,,EA9B
arrow-down,,EA9A
arrow-circle-up,,EBFF
arrow-circle-right,,EBFE
arrow-circle-left,,EBFD
arrow-circle-down,,EBFC
arrow-both,,EA99
archive,,EA98
agent,,EC67
agent-compact,,ECC0
add,,EA60
add-small,,EC7B
activate-breakpoints,,EA97
account,,EB99
